personnel_code,radio_code,name,title,unit
P001,R101,陳子安,警務正,A
P002,R102,林昱辰,指揮官,B
P003,R103,黃承恩,指揮官,C
P004,R104,張宇衡,警務員,D
P005,R105,吳柏勳,巡官,E
P006,R106,劉冠廷,巡官,F
P007,R107,蔡睿哲,警員,A
P008,R108,楊書維,警員,B
P009,R109,許博凱,警員,C
P010,R110,鄭曜廷,警員,D
P011,R111,謝承翰,警員,E
P012,R112,郭品皓,警員,F
P013,R113,何昀澤,巡官,A
P014,R114,羅思遠,警員,B
P015,R115,高奕翔,警員,C
P016,R116,潘彥廷,警員,D
P017,R117,簡柏丞,巡官,E
P018,R118,蘇以謙,警員,F
P019,R119,鍾皓宇,警員,A
P020,R120,范宥辰,警員,B
P021,R121,葉承洋,警員,C
P022,R122,傅子睿,警員,D
P023,R123,游皓然,警員,E
P024,R124,曾宇軒,警員,F
P025,R125,呂冠霖,警員,A
P026,R126,賴品叡,警員,B
P027,R127,廖宥翔,警員,C
P028,R128,江承諺,警員,D
P029,R129,杜維安,巡官,E
P030,R130,卓彥霖,警員,F
P031,R131,洪子謙,警員,A
P032,R132,顏柏翰,警員,B
P033,R133,石昱安,警員,C
P034,R134,施宇澤,警員,D
P035,R135,魏承祐,警員,E
P036,R136,宋昀哲,警員,F
P037,R137,邱品睿,巡官,A
P038,R138,方冠宇,警員,B
P039,R139,陸承佑,警員,C
P040,R140,程昱維,警員,D
P041,R141,周柏睿,警員,E
P042,R142,梁宇宸,警員,F
P043,R143,袁承皓,警員,A
P044,R144,韓子軒,警員,B
P045,R145,朱昱廷,警員,C
P046,R146,丁柏安,警員,D
P047,R147,沈承勳,警員,E
P048,R148,戴宇哲,警員,F
P049,R149,彭子豪,警員,A
P050,R150,柯昀謙,警員,B
P051,R151,曹承恩,警員,C
P052,R152,段宇衡,警員,D
P053,R153,汪柏翔,警員,E
P054,R154,莫承洋,警員,F
P055,R155,白昱辰,警員,A
P056,R156,賀子睿,警員,B
